Tender_ID,Tender_Title,Department,Procurement_Category,Location,Tender_Date,Closing_Date,Estimated_Cost_INR,Contract_Value_INR,Winning_Vendor_ID,Winning_Vendor,Number_of_Bidders,Bid_Amounts_INR,Contract_Duration_Days,Procurement_Method,Other_Bidder_1_ID,Other_Bidder_2_ID,Contract_to_Estimate_Ratio,Bid_Spread_Percent,Payment_Amount_INR,Contract_Status,Investigation_Case_ID,Seed_Investigation_Pattern,Seed_Case_Reason
T-5032,Water Infrastructure Procurement - Belagavi Zone,Health Department,Water Infrastructure,Belagavi,2024-02-28,2024-04-03,6389044.18,6000488.89,V-1080,Vendor D3,7,5900950.73|6136740.88|6241812.96|6277181.8|6446614.79|6515350.28|6570093.01,471,Request for Proposal,,,0.939,11.34,3955652.75,Completed,,,
T-5033,Office Supplies Procurement - Hubballi Zone,Health Department,Office Supplies,Hubballi,2024-03-15,2024-04-05,748024.93,675676.45,V-1041,Vendor B16,10,659906.97|678740.71|689143.59|699261.97|741169.73|744511.68|755717.68|782395.45|789000.25|792909.22,484,Limited Tender,,,0.903,20.155,673144.61,Completed,,,
T-5034,Medical Supplies Procurement - Hubballi Zone,Public Works Department,Medical Supplies,Hubballi,2025-04-20,2025-06-02,1429749.14,1310897.46,V-1001,Vendor A2,10,1281855.51|1305727.94|1328336.78|1340731.17|1343141.15|1359883.8|1369498.26|1430650.49|1463790.3|1469219.83,84,e-Procurement,,,0.917,14.617,837442.83,Active,,,
T-5035,Water Infrastructure Procurement - Hubballi Zone,Municipal Administration,Water Infrastructure,Hubballi,2024-11-07,2024-11-18,8380614.53,7824535.88,V-1106,Vendor E3,3,7634190.3|8793624.37|8976034.25,530,Open Tender,,,0.934,17.577,6329925.1,Completed,,,
T-5036,Road Infrastructure Procurement - Bengaluru Zone,Energy Department,Road Infrastructure,Bengaluru,2024-08-04,2024-08-25,12204836.9,11159402.14,V-1024,Vendor A25,11,10963805.32|11074226.28|11341715.79|11404553.87|11621381.98|12180990.27|12435987.89|12691604.55|12739658.51|12979388.98|13059754.85,347,Request for Proposal,,,0.914,19.117,10784101.28,Completed,,,
T-5037,Electrical Equipment Procurement - Hubballi Zone,Education Department,Electrical Equipment,Hubballi,2024-03-21,2024-04-21,4463374.52,4055394.67,V-1069,Vendor C18,9,3967194.95|3973827.86|4452897.87|4505031.12|4525788.08|4546549.69|4734179.78|4803105.87|4819867.36,279,Open Tender,,,0.909,21.493,2498542.67,Completed,,,
T-5038,Vehicle Maintenance Procurement - Shivamogga Zone,Rural Development Department,Vehicle Maintenance,Shivamogga,2024-05-16,2024-06-25,1079278.4,1020152.55,V-1058,Vendor C7,6,1018644.65|1052126.83|1128691.11|1132065.78|1135841.8|1153590.28,181,Open Tender,,,0.945,13.248,1006772.63,Payment Pending,,,
T-5039,Vehicle Maintenance Procurement - Mysuru Zone,Transport Department,Vehicle Maintenance,Mysuru,2024-05-10,2024-06-22,676349.64,661911.11,V-1054,Vendor C3,10,649902.4|651663.7|652923.19|665550.78|668017.21|672619.94|684689.73|694997.38|703941.59|713774.14,443,Open Tender,,,0.979,9.828,646266.68,Completed,,,
T-5040,Vehicle Maintenance Procurement - Mysuru Zone,Water Resources Department,Vehicle Maintenance,Mysuru,2025-02-19,2025-03-03,5008112.56,4871673.24,V-1107,Vendor E4,5,4825583.67|4829179.72|5145918.1|5176659.0|5392819.21,458,Open Tender,,,0.973,11.755,4618625.84,Active,,,
T-5041,Medical Supplies Procurement - Udupi Zone,Municipal Administration,Medical Supplies,Udupi,2024-05-25,2024-06-09,621427.27,568147.04,V-1087,Vendor D10,3,562321.77|646034.46|665724.56,469,e-Procurement,,,0.914,18.389,367335.72,Completed,,,
T-5042,IT Equipment Procurement - Mysuru Zone,Energy Department,IT Equipment,Mysuru,2024-06-01,2024-06-13,2369990.55,2185443.01,V-1071,Vendor C20,7,2169265.64|2190101.73|2194928.74|2328605.07|2373657.78|2393522.97|2532444.77,546,Open Tender,,,0.922,16.742,1825554.69,Completed,,,
T-5043,Office Supplies Procurement - Bengaluru Zone,Rural Development Department,Office Supplies,Bengaluru,2025-06-04,2025-07-08,570042.4,568282.56,V-1049,Vendor B24,4,554466.64|557636.72|603952.64|615228.04,358,e-Procurement,,,0.997,10.959,507136.02,Completed,,,
T-5044,Medical Supplies Procurement - Tumakuru Zone,Water Resources Department,Medical Supplies,Tumakuru,2026-08-09,2026-09-02,1284992.5,1152727.17,V-1008,Vendor A9,6,1139896.9|1142198.14|1215359.11|1319741.95|1349805.86|1370210.51,67,Open Tender,,,0.897,20.205,1145479.48,Completed,,,
T-5045,Electrical Equipment Procurement - Kalaburagi Zone,Water Resources Department,Electrical Equipment,Kalaburagi,2026-07-02,2026-08-13,1654950.58,1527782.53,V-1080,Vendor D3,7,1476718.04|1627173.56|1636341.95|1645457.43|1675509.04|1748589.76|1756403.59,291,Limited Tender,,,0.923,18.94,964322.16,Completed,,,
T-5046,Electrical Equipment Procurement - Bengaluru Zone,Energy Department,Electrical Equipment,Bengaluru,2025-07-24,2025-08-12,2749851.85,2565211.45,V-1106,Vendor E3,8,2478075.24|2523935.87|2551142.07|2675864.34|2804293.82|2904743.93|2931391.76|2948564.55,701,Open Tender,,,0.933,18.986,2295124.58,Completed,,,
T-5047,Office Supplies Procurement - Mysuru Zone,Municipal Administration,Office Supplies,Mysuru,2024-12-21,2025-02-03,1657556.26,1492318.2,V-1011,Vendor A12,7,1460766.49|1544777.32|1553805.88|1663167.72|1668102.8|1668829.53|1783923.76,355,Open Tender,,,0.9,22.122,1048294.63,Payment Pending,,,
T-5048,Medical Supplies Procurement - Tumakuru Zone,Rural Development Department,Medical Supplies,Tumakuru,2024-08-11,2024-09-15,1483878.52,1344144.01,V-1078,Vendor D1,9,1325801.12|1325945.49|1336235.5|1395131.77|1478587.15|1509960.87|1515981.37|1582416.4|1583959.74,149,Open Tender,,,0.906,19.472,845509.47,Completed,,,
T-5049,Water Infrastructure Procurement - Udupi Zone,Health Department,Water Infrastructure,Udupi,2026-02-01,2026-03-16,7342399.64,6557952.4,V-1006,Vendor A7,5,6557682.36|6832115.72|7007341.76|7663681.97|7667686.96,459,Limited Tender,,,0.893,16.927,4850390.29,Completed,,,
T-5050,Road Infrastructure Procurement - Mangaluru Zone,Transport Department,Road Infrastructure,Mangaluru,2025-01-31,2025-02-25,8401122.2,11277887.47,V-1028,Vendor B3,9,7531406.18|7646798.69|7763930.03|7852124.87|8119407.03|8492713.27|8536379.09|8558529.36|8990651.73,113,Open Tender,,,1.342,19.375,10231594.55,Payment Pending,CASE-002,Price Anomaly,Contract value is substantially above the estimated cost and comparable procurement baseline.
T-5051,Vehicle Maintenance Procurement - Mangaluru Zone,Public Works Department,Vehicle Maintenance,Mangaluru,2025-05-21,2025-06-24,1966313.07,2909386.4,V-1014,Vendor A15,6,1809149.27|1915791.59|1951664.15|2011508.4|2023665.32|2071755.75,686,Open Tender,,,1.48,14.515,2208754.98,Completed,CASE-002,Price Anomaly,Contract value is substantially above the estimated cost and comparable procurement baseline.
T-5052,Office Supplies Procurement - Mysuru Zone,Energy Department,Office Supplies,Mysuru,2024-07-17,2024-08-04,416412.98,621505.64,V-1052,Vendor C1,7,366546.01|381888.92|404928.08|416273.67|417021.48|442383.49|447020.27,707,Open Tender,,,1.493,21.955,492161.24,Active,CASE-002,Price Anomaly,Contract value is substantially above the estimated cost and comparable procurement baseline.
T-5053,Office Supplies Procurement - Dharwad Zone,Transport Department,Office Supplies,Dharwad,2025-05-15,2025-06-25,1111465.05,1050770.09,V-1010,Vendor A11,5,1011339.97|1066016.15|1081366.26|1129349.99|1196903.68,40,e-Procurement,,,0.945,18.348,1048481.23,Completed,,,
T-5054,School Infrastructure Procurement - Dharwad Zone,Public Works Department,School Infrastructure,Dharwad,2025-02-28,2025-04-11,4440558.07,3957020.11,V-1087,Vendor D10,5,3924003.61|3998982.23|4037286.19|4336077.4|4414718.02,271,Open Tender,,,0.891,12.505,2887038.65,Completed,,,
T-5055,Road Infrastructure Procurement - Bengaluru Zone,Health Department,Road Infrastructure,Bengaluru,2026-01-14,2026-02-03,6899087.59,6358803.85,V-1115,Vendor E12,6,6348345.97|6515628.99|6564897.65|7027678.22|7204635.38|7419922.32,346,e-Procurement,,,0.922,16.88,5258287.83,Completed,,,
T-5056,Road Infrastructure Procurement - Dharwad Zone,Municipal Administration,Road Infrastructure,Dharwad,2024-03-13,2024-04-02,8266723.55,8447558.43,V-1113,Vendor E10,5,8286990.22|8308560.87|8569984.54|8820927.69|8841013.6,113,Limited Tender,,,1.022,6.685,6034596.92,Completed,,,
T-5057,Medical Supplies Procurement - Dharwad Zone,Municipal Administration,Medical Supplies,Dharwad,2025-02-13,2025-03-02,1308591.23,1177591.55,V-1059,Vendor C8,6,1167355.53|1172924.34|1193316.04|1216231.71|1343030.61|1379721.95,660,Open Tender,,,0.9,18.192,855818.83,Completed,,,
T-5058,IT Equipment Procurement - Mysuru Zone,Energy Department,IT Equipment,Mysuru,2026-08-23,2026-09-22,1496341.84,1350524.1,V-1095,Vendor D18,8,1341179.12|1377705.36|1382787.79|1437464.19|1441994.64|1464402.98|1479127.52|1568301.64,188,Open Tender,,,0.903,16.935,1165554.08,Active,,,
T-5059,School Infrastructure Procurement - Hubballi Zone,Energy Department,School Infrastructure,Hubballi,2025-05-30,2025-06-20,7276558.88,6570745.29,V-1059,Vendor C8,8,6461743.19|7041694.0|7111626.86|7245524.95|7458847.83|7665172.96|7674474.94|7714173.85,672,e-Procurement,,,0.903,19.382,6387087.3,Completed,,,
T-5060,Vehicle Maintenance Procurement - Bengaluru Zone,Energy Department,Vehicle Maintenance,Bengaluru,2026-05-16,2026-05-27,923445.22,857971.13,V-1093,Vendor D16,10,845817.3|846056.26|856503.45|858292.67|894874.8|903550.12|907712.92|970427.36|973449.76|992037.83,174,Open Tender,,,0.929,17.287,681281.87,Completed,,,
T-5061,School Infrastructure Procurement - Mysuru Zone,Public Works Department,School Infrastructure,Mysuru,2024-06-11,2024-06-25,2207813.34,2058430.66,V-1039,Vendor B14,9,2046499.03|2047538.39|2088984.13|2118025.88|2138057.2|2141039.16|2207245.48|2238453.55|2333088.93,305,Limited Tender,,,0.932,14.004,1843900.95,Active,,,
T-5062,Road Infrastructure Procurement - Tumakuru Zone,Transport Department,Road Infrastructure,Tumakuru,2025-07-29,2025-09-04,3921073.9,3951839.94,V-1106,Vendor E3,3,3822757.58|3971110.35|4028042.37,396,e-Procurement,,,1.008,5.37,2332150.49,Active,,,
T-5063,IT Equipment Procurement - Udupi Zone,Transport Department,IT Equipment,Udupi,2026-05-31,2026-07-08,1265861.38,1157667.44,V-1100,Vendor D23,8,1115208.68|1124483.11|1151514.4|1193999.98|1242375.81|1350389.28|1358299.32|1363745.41,214,Limited Tender,,,0.915,22.286,746719.95,Payment Pending,,,
T-5064,Office Supplies Procurement - Mysuru Zone,Energy Department,Office Supplies,Mysuru,2026-07-07,2026-08-19,433528.16,409131.16,V-1044,Vendor B19,8,393950.72|395045.07|395584.21|397835.71|401842.57|444871.82|445051.25|462992.45,222,e-Procurement,,,0.944,17.525,317469.1,Completed,,,
T-5065,IT Equipment Procurement - Kalaburagi Zone,Health Department,IT Equipment,Kalaburagi,2025-02-17,2025-03-12,9376150.68,8781629.17,V-1007,Vendor A8,6,8463119.54|9377293.71|9692163.27|9742777.62|9872353.15|9973744.89,82,e-Procurement,,,0.937,17.85,4908977.03,Completed,,,
T-5066,Medical Supplies Procurement - Mysuru Zone,Public Works Department,Medical Supplies,Mysuru,2025-12-04,2026-01-16,3128692.17,2859115.22,V-1072,Vendor C21,6,2809866.98|2821523.2|2933890.78|3160299.25|3232058.44|3332479.43,623,e-Procurement,,,0.914,18.599,1897837.05,Completed,,,
T-5067,IT Equipment Procurement - Bengaluru Zone,Rural Development Department,IT Equipment,Bengaluru,2024-12-09,2025-01-16,4284769.91,4161383.63,V-1084,Vendor D7,3,4048752.64|4084638.2|4110099.29,502,Limited Tender,,,0.971,1.515,3257658.36,Completed,,,
T-5068,Road Infrastructure Procurement - Mangaluru Zone,Energy Department,Road Infrastructure,Mangaluru,2026-07-28,2026-09-04,8185550.88,7975020.56,V-1071,Vendor C20,6,7825035.94|7962075.59|8053078.85|8217458.72|8297222.75|8616657.08,183,Open Tender,,,0.974,10.117,4439953.45,Completed,,,
T-5069,Medical Supplies Procurement - Hubballi Zone,Water Resources Department,Medical Supplies,Hubballi,2024-10-26,2024-11-19,476512.27,421195.79,V-1086,Vendor D9,5,421068.41|437988.92|487769.69|496810.33|510394.55,80,Open Tender,,,0.884,21.214,281799.29,Completed,,,
T-5070,Vehicle Maintenance Procurement - Dharwad Zone,Water Resources Department,Vehicle Maintenance,Dharwad,2026-02-25,2026-04-05,1177971.59,1186802.57,V-1111,Vendor E8,4,1159850.79|1162012.48|1194485.82|1255624.86,687,Open Tender,,,1.007,8.257,927265.31,Active,,,
T-5071,School Infrastructure Procurement - Kalaburagi Zone,Water Resources Department,School Infrastructure,Kalaburagi,2024-12-10,2024-12-26,2513875.92,2309773.41,V-1107,Vendor E4,7,2265945.88|2303433.51|2341204.21|2476249.93|2497441.32|2568701.68|2696346.55,414,Open Tender,,,0.919,18.994,1866105.58,Completed,,,
T-5072,Medical Supplies Procurement - Shivamogga Zone,Water Resources Department,Medical Supplies,Shivamogga,2026-07-06,2026-07-19,1849027.28,1709075.94,V-1008,Vendor A9,7,1691776.17|1760559.65|1832991.42|1866262.4|1911873.75|1920674.81|1962147.47,79,e-Procurement,,,0.924,15.982,1651972.74,Completed,,,
T-5073,School Infrastructure Procurement - Shivamogga Zone,Transport Department,School Infrastructure,Shivamogga,2024-07-20,2024-08-26,6213661.97,5638565.91,V-1073,Vendor C22,8,5497398.97|5586970.11|5676819.23|5737372.1|6029448.86|6197019.87|6383759.41|6540248.41,484,Limited Tender,,,0.907,18.97,4738681.97,Completed,,,
T-5074,Road Infrastructure Procurement - Tumakuru Zone,Health Department,Road Infrastructure,Tumakuru,2024-09-10,2024-10-08,6298347.97,6291811.75,V-1006,Vendor A7,5,6051854.28|6081936.25|6414786.98|6418198.68|6446482.3,609,e-Procurement,,,0.999,6.521,4634744.28,Completed,,,
T-5075,Electrical Equipment Procurement - Shivamogga Zone,Health Department,Electrical Equipment,Shivamogga,2025-09-12,2025-09-29,1200848.94,1101032.44,V-1040,Vendor B15,2,1182836.21|1191242.15,259,Limited Tender,,,0.917,0.711,1066523.91,Completed,CASE-003,Low Competition,"High-value procurements received only two bids, below the normal competition level."
T-5076,Water Infrastructure Procurement - Kalaburagi Zone,Education Department,Water Infrastructure,Kalaburagi,2024-09-15,2024-09-29,2630006.63,2398807.64,V-1034,Vendor B9,2,2590556.53|2608966.58,506,e-Procurement,,,0.912,0.711,2166596.69,Active,CASE-003,Low Competition,"High-value procurements received only two bids, below the normal competition level."
T-5077,Office Supplies Procurement - Kalaburagi Zone,Public Works Department,Office Supplies,Kalaburagi,2025-03-21,2025-04-04,1391458.4,1297645.67,V-1011,Vendor A12,2,1370586.52|1380326.73,277,Limited Tender,,,0.933,0.711,830498.44,Active,CASE-003,Low Competition,"High-value procurements received only two bids, below the normal competition level."
T-5078,Water Infrastructure Procurement - Hubballi Zone,Public Works Department,Water Infrastructure,Hubballi,2024-03-24,2024-04-23,3973752.6,3595535.8,V-1102,Vendor D25,7,3547058.22|3590403.91|3623509.24|3677594.62|3899712.39|3980497.18|4184112.09,478,Open Tender,,,0.905,17.96,2189246.47,Active,,,
T-5079,Water Infrastructure Procurement - Shivamogga Zone,Transport Department,Water Infrastructure,Shivamogga,2025-10-27,2025-11-20,7429642.2,6969007.63,V-1034,Vendor B9,13,6748014.21|6853075.95|7119146.7|7128264.38|7282762.63|7329314.09|7340089.19|7379975.58|7391880.87|7471173.98|7540052.34|7610066.71|7706434.94,434,Open Tender,,,0.938,14.203,5952335.6,Active,,,
T-5080,Medical Supplies Procurement - Mangaluru Zone,Education Department,Medical Supplies,Mangaluru,2025-04-10,2025-04-25,1888551.06,1746396.2,V-1009,Vendor A10,8,1711980.86|1727963.27|1845893.19|1890912.86|1950801.41|1972584.24|1987516.61|2010459.75,54,e-Procurement,,,0.925,17.435,1400517.93,Payment Pending,,,
T-5081,Electrical Equipment Procurement - Hubballi Zone,Health Department,Electrical Equipment,Hubballi,2026-08-21,2026-09-22,2908751.87,2621594.0,V-1095,Vendor D18,7,2559895.08|2569991.54|2721284.34|2905430.51|3055032.21|3069376.17|3104481.3,496,Open Tender,,,0.901,21.274,2373468.32,Active,,,
T-5082,IT Equipment Procurement - Mysuru Zone,Water Resources Department,IT Equipment,Mysuru,2026-02-16,2026-04-01,2393597.4,2154443.05,V-1049,Vendor B24,3,2134026.39|2439092.61|2577271.97,178,Open Tender,,,0.9,20.77,1901214.71,Active,,,
